"Block"	"Row"	"Column"	"ID"	"Name"	"CDI9059098R_HMN1098196-00001_Young_09222023_0001_A1"	"CDI9059099R_HMN688802-00011_Young_09222023_0002_A1"	"CDI9059100R_HMN742453-00002_Young_09222023_0003_A1"	"CDI9059101R_HMN742467-00002_Young_09222023_0004_A1"	"CDI9059102R_HMN742479-00002_Young_09222023_0005_A1"	"CDI9059103R_HMN763660-00002_Young_09222023_0006_A1"	"CDI9059104R_HMN775050-00002_Young_09222023_0007_A1"	"CDI9059105R_HMN775067-00001_Young_09222023_0008_A1"	"CDI9059106R_HMN791983-00002_Young_09222023_0009_A1"	"CDI9059107R_HMN820800-00002_Young_09222023_0010_A1"	"CDI9059108R_HMN833599-00003_Young_09222023_0011_A1"	"CDI9059109R_HMN870353-00004_Young_09222023_0012_A1"	"CDI9059110R_HMN1096847-00001_Old_09222023_0013_A1"	"CDI9059111R_HMN1096848-00001_Old_09222023_0014_A1"	"CDI9059112R_HMN1096849-00001_Old_09222023_0015_A1"	"CDI9059114R_HMN1096851-00001_Old_09222023_0017_A1"	"CDI9059115R_HMN1096852-00001_Old_09222023_0018_A1"	"CDI9059116R_HMN1096853-00001_Old_09222023_0019_A1"	"CDI9059117R_HMN636469-00027_Old_09222023_0020_A1"	"CDI9059118R_HMN676715-00005_Old_09222023_0021_A1"	"CDI9059119R_HMN774785-00002_Old_09222023_0022_A1"	"CDI9059120R_HMN804630-00001_Old_09222023_0023_A1"	"CDI9059121R_HMN846402-00016_Old_09222023_0024_A1"
1	91	1	"Control"	"Rhodamine+IgG647"	13.1387888770617	13.6093346598381	12.6153837871371	12.7437177561229	13.3851349989474	12.8990985392893	13.7987996323381	13.5859004668473	13.4334029599317	14.0022318051029	13.9254251173919	13.8839894609235	12.6290961002362	13.6757501149846	13.492391531741	13.6647570413359	13.3570253281766	13.3056017502027	12.946964584484	12.9300467292658	13.4380841686657	13.4293127210727	13.4339865689732
1	91	2	"Control"	"Anti-human IgG 1.5625ng/ul"	6.96351858436015	7.06544613490331	6.78729676366881	6.85141100588852	7.2029695966712	6.88259124144567	8.19105868667539	7.10609618595424	7.43453181335911	7.03840779852542	7.67578021146575	7.25216122414595	7.525115644612	7.49558375307001	7.90577515152216	7.57360246247111	7.22360620078634	7.13514766323602	6.77404970848919	7.34108582213575	7.17877600230904	7.07340365103738	6.7667865406949
1	91	3	"Control"	"IgG488/594"	10.3158034702351	10.4928198803967	9.94836427567244	9.79523047885005	10.668242383598	10.1665449097164	10.6920340335759	10.9297311844733	9.90304192637149	10.8191949761218	10.613956012492	10.8532581266033	10.9347095671611	10.6506866935283	10.2008902737128	10.7217555939147	10.6918089082968	10.5126502262423	10.4838354761021	10.4751618968717	10.2853647032806	10.3315497031892	10.6017480864693
1	91	4	"Control"	"Anti-human IgG 6.25ng/ul"	6.74805238967006	7.07538930391102	6.7938887581641	6.66138658822728	6.86952109984489	7.00167111004306	7.58376787602342	7.32051783535617	7.27157634220745	6.95269350250907	7.48770009514085	7.40839183968928	7.38855058643606	7.32877087985169	7.21949336398762	7.17422576870356	7.18216993982603	7.18663650221104	6.74667756074745	7.29832783383733	7.07740905452605	7.1030493069979	6.63573151395219
1	91	5	"Control"	"GST 10ng/ul"	6.70363388212237	7.02236781302845	6.93604884340393	6.65017628016411	7.1269237424937	6.93969589824259	7.58127434109996	6.86777801195577	6.5669724568591	7.27504269928839	7.40899146359783	7.37885125888526	7.31655437747036	7.34848376311714	7.55829381957189	7.07938372731804	7.18571817297123	6.95663171531438	6.82642248650099	7.04435271851932	6.93025252840394	6.92274502547219	6.81876527576265
1	91	6	"Control"	"Anti-human IgG 25ng/ul"	6.83907997877138	7.24222265388582	6.82619843073884	6.77139503077745	7.16173851657521	6.86698430471951	7.47162369795078	7.28611325639685	7.18979071742565	7.20200529486613	7.40498452358807	7.22263677782032	7.47552849945777	7.41538138259891	7.62919100246427	7.20449653967109	7.15700835195068	7.03127606968839	6.84870100375135	7.0248392051432	7.08648717696812	6.926459792562	7.03514434498084
1	91	7	"Control"	"GST 50ng/ul"	6.79418164359606	7.09799364901425	6.67822598511088	6.43170597947082	7.00840414384328	6.37430608836849	7.3658981571984	7.13922472911024	7.19913803805173	7.07097372915781	7.47972932320634	6.71103238308641	7.34346908583519	7.31723537588813	7.49183083217373	6.93773069895819	6.83239029296676	6.84685236961264	6.7474277922456	6.90563716780323	6.91391943394378	6.94313407643648	6.70602025727583
1	91	8	"Control"	"Anti-human IgG 100ng/ul"	7.32130792034255	7.51550595371885	6.58025087377784	6.84499898570972	7.31168356483153	7.15445390203197	7.66936819128696	7.17647000116253	7.40287193607581	7.42869894585064	7.73265565443859	7.29710397590454	7.6437840514157	7.44208525955422	7.21277187564095	7.21757466918347	7.31683820494616	7.20915691467001	7.03072778903137	7.16769517734696	7.20734261790361	7.36608371283169	7.11354471304862
1	91	9	"Control"	"GST 100ng/ul"	6.88243579536805	6.97723448571713	6.78788778993738	6.6923244310262	7.1382439709436	6.65473817692055	7.2965788290515	7.00770752619334	7.11800709595004	7.08742384000568	7.21247678563052	7.32054606758335	7.3658981571984	7.23025994476244	7.45005603148873	6.9806344017698	7.0248392051432	7.0276412177506	6.57993566838919	6.92274502547219	7.13777127804336	7.16384648862017	6.45203503827307
1	91	10	"Control"	"hMDM2"	6.971532104081	7.07065444287598	6.77404970848919	6.78112121211054	7.4696059413332	6.70694616418632	7.05613829581964	7.20783787883652	6.57025513618411	7.0358987611421	7.52628402540208	7.39629348447396	7.49238723002342	7.19913803805173	7.70170576649052	7.1682184111428	7.17387988160969	7.02236781302845	6.6756076609278	6.95494654188502	6.88862765759596	7.16570342038771	7.10335457467932
