"Block"	"Row"	"Column"	"ID"	"Name"	"CDI9059098R_HMN1098196-00001_Young_09222023_0001_A1"	"CDI9059099R_HMN688802-00011_Young_09222023_0002_A1"	"CDI9059100R_HMN742453-00002_Young_09222023_0003_A1"	"CDI9059101R_HMN742467-00002_Young_09222023_0004_A1"	"CDI9059102R_HMN742479-00002_Young_09222023_0005_A1"	"CDI9059103R_HMN763660-00002_Young_09222023_0006_A1"	"CDI9059104R_HMN775050-00002_Young_09222023_0007_A1"	"CDI9059105R_HMN775067-00001_Young_09222023_0008_A1"	"CDI9059106R_HMN791983-00002_Young_09222023_0009_A1"	"CDI9059107R_HMN820800-00002_Young_09222023_0010_A1"	"CDI9059108R_HMN833599-00003_Young_09222023_0011_A1"	"CDI9059109R_HMN870353-00004_Young_09222023_0012_A1"	"CDI9059110R_HMN1096847-00001_Old_09222023_0013_A1"	"CDI9059111R_HMN1096848-00001_Old_09222023_0014_A1"	"CDI9059112R_HMN1096849-00001_Old_09222023_0015_A1"	"CDI9059114R_HMN1096851-00001_Old_09222023_0017_A1"	"CDI9059115R_HMN1096852-00001_Old_09222023_0018_A1"	"CDI9059116R_HMN1096853-00001_Old_09222023_0019_A1"	"CDI9059117R_HMN636469-00027_Old_09222023_0020_A1"	"CDI9059118R_HMN676715-00005_Old_09222023_0021_A1"	"CDI9059119R_HMN774785-00002_Old_09222023_0022_A1"	"CDI9059120R_HMN804630-00001_Old_09222023_0023_A1"	"CDI9059121R_HMN846402-00016_Old_09222023_0024_A1"
1	91	1	"Control"	"Rhodamine+IgG647"	13.1477595715455	13.3849263479598	12.3353391718804	12.723672926907	13.5432763324062	13.088393294277	13.9677116558764	13.8113606063381	12.7563413612818	13.6925711284142	13.7362287534235	13.806817434021	14.0737860037547	13.6900316214431	12.9947868912185	13.8647280001458	13.6170414578213	13.3902840317368	13.4643920091874	13.7438468856066	13.3350831222643	13.5823008080892	13.2402395084313
1	91	2	"Control"	"Anti-human IgG 1.5625ng/ul"	7.11725904286999	7.65246083479084	6.55768441891011	6.90563716780323	7.84772290526869	6.9036774610288	8.31513356251338	7.97124579825448	7.03514434498084	7.92602088319619	7.76748577130366	8.0901099910851	7.92952470317779	7.91283965579326	7.2015726028349	7.84234691952066	7.68979071742565	7.20303605275125	7.5268356927976	8.11365754995275	7.8948050284395	7.2623932754258	7.68247768924095
1	91	3	"Control"	"IgG488/594"	8.6128108426258	8.82005184400862	8.14199632430379	8.49669588086021	9.10140149449505	8.44912354693891	9.04804099185457	9.25451247590837	8.46331594320066	9.06067316439478	8.81273314049223	9.11881972410602	9.0277762670923	8.90839183968928	8.25265767806812	8.91885399927677	8.82984467702202	8.51977013173887	9.09537532483118	8.85420854537333	9.12016741439604	8.4276289135966	9.30365612552419
1	91	4	"Control"	"Anti-human IgG 6.25ng/ul"	8.92249383323307	9.24928048761449	8.51668999080107	8.6598625178639	9.56151507601683	8.7072559122697	9.86727543211884	9.67072032019923	8.73355996074838	9.4841083903509	9.54420779686731	9.59203329133706	9.41703643315855	9.41505951272226	8.52512627478391	9.38056782491432	9.19227384387232	8.97050087085256	9.28228316239781	9.53085435233031	9.32481053606385	9.14110984783629	9.54099133466284
1	91	5	"Control"	"GST 10ng/ul"	5.37409642479473	5.49042680318987	5.42587452070803	5.20945336562895	5.74089971583288	5.49717671842943	6.66992500144231	5.72302470335828	5.50351363344698	5.52899586137959	5.88077561622224	5.69803477881993	5.83621267098575	5.65814076587311	5.77729442583882	5.76178097802851	5.40849181162769	5.58213921915059	5.45607042814786	5.8073549220576	5.47491335537956	5.66545843905731	5.62928301694497
1	91	6	"Control"	"Anti-human IgG 25ng/ul"	11.0051793648153	11.3694782334458	10.9450378604857	10.7142797645033	11.5193546913994	10.8651264297315	11.9977695518683	11.6630933489565	10.7706553842053	11.5250272752443	11.5632542507276	11.7075899684389	11.5292308294938	11.4854266657171	10.7169088446579	11.5126590983147	11.2952558350122	11.2600328337835	11.3926780391303	11.8612250801436	11.499525773975	11.2842622176087	11.4061826765653
1	91	7	"Control"	"GST 50ng/ul"	5.40125818256061	5.52899586137959	5.40929108874043	5.10106191191523	5.66237155524721	5.10837292909765	5.91822245567068	5.48289214233104	5.67214795395791	5.52322097400366	5.89435916634523	5.40448208745963	5.82485263273571	5.47491335537956	5.5697756761994	5.59614640723538	5.33709613407284	5.39067985676233	5.41208160487208	5.55164390420601	5.53707073137625	5.2637385030302	5.7338027750415
1	91	8	"Control"	"Anti-human IgG 100ng/ul"	12.7772923766809	13.2791053601996	12.6581949436342	12.4742069660629	13.3240955453127	12.7242923400371	13.6059604254067	13.4071329816255	12.6527550633315	13.2974276715443	13.3326510549568	13.5335368828443	13.5905875618555	13.2565371913407	12.6156533163341	13.3462955799845	13.1464625035865	12.9468959655862	13.1235101411331	13.6406063561121	13.2278408275278	13.0076382911301	13.399557136252
1	91	9	"Control"	"GST 100ng/ul"	5.56913590008611	5.61440934524794	5.47125725266962	5.2474277922456	5.58213921915059	5.16992500144231	6.14960400919364	5.49149678734716	5.79154138375147	5.51808680627674	5.7279204545632	5.69803477881993	5.97564235748349	5.49185309632967	5.80366515687481	5.88862765759596	5.33709613407284	5.67214795395791	5.53907540386733	5.84039951728649	5.72379992913998	5.63660640492717	5.55164390420601
1	91	10	"Control"	"hMDM2"	7.80156684774761	5.76957940555402	5.59922252072618	5.74089971583288	6.43383242419037	5.4382584732825	6.57859450675743	6.51395299828494	7.12957738443342	5.59922252072618	6.33974004975272	6.16643786557634	7.6018269427648	5.84105838247504	6.52526445276528	7.61688472522346	5.79599488380756	5.80528175196252	8.10758636801028	7.21424551766612	7.26431862212301	7.4142913967842	6.90297267590147
